,Name,kdr,maps_played,roundsPerMap,rounds_played,url,Win,Tie,Loss
212,Envy,0.89,40,25.775,1031,https://www.hltv.org//stats/teams/5991/Envy?startDate=2018-05-16&endDate=2018-11-16,13,0,27
213,Cloud9,0.96,81,26.839506172839506,2174,https://www.hltv.org//stats/teams/5752/Cloud9?startDate=2018-05-16&endDate=2018-11-16,33,0,48
214,Fam143,0.93,50,26.52,1326,https://www.hltv.org//stats/teams/8815/Fam143?startDate=2018-05-16&endDate=2018-11-16,21,0,29
215,Space Jam,0.9,26,26.0,676,https://www.hltv.org//stats/teams/7017/Space%20Jam?startDate=2018-05-16&endDate=2018-11-16,12,0,14
216,Avalanche,0.95,26,26.615384615384617,692,https://www.hltv.org//stats/teams/8751/Avalanche?startDate=2018-05-16&endDate=2018-11-16,9,0,17
217,Prospects,0.82,32,24.34375,779,https://www.hltv.org//stats/teams/6792/Prospects?startDate=2018-05-16&endDate=2018-11-16,8,0,24
218,Sparta,1.03,19,25.31578947368421,481,https://www.hltv.org//stats/teams/9483/Sparta?startDate=2018-05-16&endDate=2018-11-16,10,0,9
219,Dynasty,0.96,49,25.857142857142858,1267,https://www.hltv.org//stats/teams/9272/Dynasty?startDate=2018-05-16&endDate=2018-11-16,17,0,32
220,WINside,0.89,58,25.74137931034483,1493,https://www.hltv.org//stats/teams/9055/WINside?startDate=2018-05-16&endDate=2018-11-16,20,0,38
221,Windigo Academy,0.99,19,26.94736842105263,512,https://www.hltv.org//stats/teams/8898/Windigo%20Academy?startDate=2018-05-16&endDate=2018-11-16,9,0,10
222,Revoltz,0.95,32,25.8125,826,https://www.hltv.org//stats/teams/9163/Revoltz?startDate=2018-05-16&endDate=2018-11-16,14,0,18
223,RUNUP,1.04,18,27.833333333333332,501,https://www.hltv.org//stats/teams/9118/RUNUP?startDate=2018-05-16&endDate=2018-11-16,12,0,6
224,XCN,0.93,16,25.8125,413,https://www.hltv.org//stats/teams/8626/XCN?startDate=2018-05-16&endDate=2018-11-16,6,0,10
225,Codewise Unicorns,0.94,20,25.25,505,https://www.hltv.org//stats/teams/8572/Codewise%20Unicorns?startDate=2018-05-16&endDate=2018-11-16,8,0,12
226,Brute,0.94,31,26.838709677419356,832,https://www.hltv.org//stats/teams/9139/Brute?startDate=2018-05-16&endDate=2018-11-16,14,0,17
227,Control,0.91,17,26.823529411764707,456,https://www.hltv.org//stats/teams/8434/Control?startDate=2018-05-16&endDate=2018-11-16,4,0,13
228,2990,0.94,16,25.4375,407,https://www.hltv.org//stats/teams/9100/2990?startDate=2018-05-16&endDate=2018-11-16,7,0,9
229,Coscu Army,0.87,39,26.615384615384617,1038,https://www.hltv.org//stats/teams/8871/Coscu%20Army?startDate=2018-05-16&endDate=2018-11-16,12,0,27
230,Royal Bandits,0.93,45,25.644444444444446,1154,https://www.hltv.org//stats/teams/8263/Royal%20Bandits?startDate=2018-05-16&endDate=2018-11-16,16,0,29
231,Unique,1.0,35,25.685714285714287,899,https://www.hltv.org//stats/teams/9287/Unique?startDate=2018-05-16&endDate=2018-11-16,17,0,18
232,Glockoma,0.96,28,24.714285714285715,692,https://www.hltv.org//stats/teams/8545/Glockoma?startDate=2018-05-16&endDate=2018-11-16,13,0,15
233,Conspiracy,0.91,17,25.705882352941178,437,https://www.hltv.org//stats/teams/8436/Conspiracy?startDate=2018-05-16&endDate=2018-11-16,5,0,12
234,Underdogs,0.87,18,25.11111111111111,452,https://www.hltv.org//stats/teams/9357/Underdogs?startDate=2018-05-16&endDate=2018-11-16,7,0,11
235,ROAR,0.8,16,24.125,386,https://www.hltv.org//stats/teams/8587/ROAR?startDate=2018-05-16&endDate=2018-11-16,3,0,13
236,Really Old People,0.88,21,24.285714285714285,510,https://www.hltv.org//stats/teams/9102/Really%20Old%20People?startDate=2018-05-16&endDate=2018-11-16,8,0,13
237,Grizzlys,0.93,29,23.689655172413794,687,https://www.hltv.org//stats/teams/8748/Grizzlys?startDate=2018-05-16&endDate=2018-11-16,11,0,18
238,Jordan's Money Crew,0.98,17,26.529411764705884,451,https://www.hltv.org//stats/teams/9358/Jordan%27s%20Money%20Crew?startDate=2018-05-16&endDate=2018-11-16,8,0,9
239,Dark Sided,0.87,25,24.64,616,https://www.hltv.org//stats/teams/7212/Dark%20Sided?startDate=2018-05-16&endDate=2018-11-16,7,0,18
240,anime savants,1.03,17,25.705882352941178,437,https://www.hltv.org//stats/teams/9273/anime%20savants?startDate=2018-05-16&endDate=2018-11-16,9,0,8
241,Vexed,0.89,52,26.596153846153847,1383,https://www.hltv.org//stats/teams/8020/Vexed?startDate=2018-05-16&endDate=2018-11-16,20,0,32
242,MFC,0.95,16,24.6875,395,https://www.hltv.org//stats/teams/9031/MFC?startDate=2018-05-16&endDate=2018-11-16,7,0,9
243,Ambush,0.95,32,26.40625,845,https://www.hltv.org//stats/teams/7674/Ambush?startDate=2018-05-16&endDate=2018-11-16,14,0,18
244,XFORCE,0.87,16,23.625,378,https://www.hltv.org//stats/teams/9091/XFORCE?startDate=2018-05-16&endDate=2018-11-16,4,0,12
245,Paradox,0.92,23,26.347826086956523,606,https://www.hltv.org//stats/teams/7983/Paradox?startDate=2018-05-16&endDate=2018-11-16,10,0,13
246,Whatever It Takes,0.88,24,24.083333333333332,578,https://www.hltv.org//stats/teams/8999/Whatever%20It%20Takes?startDate=2018-05-16&endDate=2018-11-16,8,0,16
247,BTRG,0.88,27,25.444444444444443,687,https://www.hltv.org//stats/teams/9107/BTRG?startDate=2018-05-16&endDate=2018-11-16,8,0,19
248,Blight,0.75,20,24.55,491,https://www.hltv.org//stats/teams/7105/Blight?startDate=2018-05-16&endDate=2018-11-16,2,0,18
249,Surge,0.88,30,24.2,726,https://www.hltv.org//stats/teams/8833/Surge?startDate=2018-05-16&endDate=2018-11-16,9,0,21
250,G2,0.92,86,26.406976744186046,2271,https://www.hltv.org//stats/teams/5995/G2?startDate=2018-05-16&endDate=2018-11-16,32,0,54
251,Bulldozer,0.86,42,26.0,1092,https://www.hltv.org//stats/teams/9013/Bulldozer?startDate=2018-05-16&endDate=2018-11-16,9,1,32
252,boxr,0.99,20,26.65,533,https://www.hltv.org//stats/teams/6050/boxr?startDate=2018-05-16&endDate=2018-11-16,6,0,14
253,Corvidae,0.9,24,25.375,609,https://www.hltv.org//stats/teams/6922/Corvidae?startDate=2018-05-16&endDate=2018-11-16,8,0,16
254,KoN Norway,0.86,18,27.444444444444443,494,https://www.hltv.org//stats/teams/6419/KoN%20Norway?startDate=2018-05-16&endDate=2018-11-16,4,0,14
255,Taboo,0.9,63,26.444444444444443,1666,https://www.hltv.org//stats/teams/8826/Taboo?startDate=2018-05-16&endDate=2018-11-16,18,1,44
256,Rão,0.9,18,25.72222222222222,463,https://www.hltv.org//stats/teams/9226/R%C3%A3o?startDate=2018-05-16&endDate=2018-11-16,8,0,10
257,KPI,0.89,18,25.11111111111111,452,https://www.hltv.org//stats/teams/7339/KPI?startDate=2018-05-16&endDate=2018-11-16,8,0,10
258,Evolution,0.88,29,26.862068965517242,779,https://www.hltv.org//stats/teams/5946/Evolution?startDate=2018-05-16&endDate=2018-11-16,8,0,21
259,Forge,0.85,23,23.73913043478261,546,https://www.hltv.org//stats/teams/8444/Forge?startDate=2018-05-16&endDate=2018-11-16,7,0,16
260,Bragantino,0.81,17,24.941176470588236,424,https://www.hltv.org//stats/teams/9361/Bragantino?startDate=2018-05-16&endDate=2018-11-16,4,0,13
261,iGame.com,0.85,22,25.636363636363637,564,https://www.hltv.org//stats/teams/7331/iGame.com?startDate=2018-05-16&endDate=2018-11-16,7,0,15
262,5balls,0.89,55,26.672727272727272,1467,https://www.hltv.org//stats/teams/8589/5balls?startDate=2018-05-16&endDate=2018-11-16,19,0,36
263,subtLe,0.89,25,26.52,663,https://www.hltv.org//stats/teams/7217/subtLe?startDate=2018-05-16&endDate=2018-11-16,7,0,18
264,Brutality,0.86,18,26.11111111111111,470,https://www.hltv.org//stats/teams/6352/Brutality?startDate=2018-05-16&endDate=2018-11-16,3,1,14
265,MC,0.87,34,25.941176470588236,882,https://www.hltv.org//stats/teams/8738/MC?startDate=2018-05-16&endDate=2018-11-16,11,0,23
266,Guerrilla Tactics,0.88,18,22.444444444444443,404,https://www.hltv.org//stats/teams/7882/Guerrilla%20Tactics?startDate=2018-05-16&endDate=2018-11-16,8,0,10
267,Uranus,0.86,16,25.75,412,https://www.hltv.org//stats/teams/7516/Uranus?startDate=2018-05-16&endDate=2018-11-16,3,0,13
268,MAX,0.77,21,22.857142857142858,480,https://www.hltv.org//stats/teams/8118/MAX?startDate=2018-05-16&endDate=2018-11-16,8,0,13
269,Sad Story,0.77,17,23.294117647058822,396,https://www.hltv.org//stats/teams/9076/Sad%20Story?startDate=2018-05-16&endDate=2018-11-16,2,0,15
